Date,MSFT,MSFT,MSFT,MSFT,MSFT
2016-07-05,45.602210998535156,45.70024248617871,45.219002255343696,45.29920952708646,24806400
2016-07-06,45.78937530517578,45.93196566931788,44.90709508980612,45.254658889926084,28167500
2016-07-07,45.78937530517578,45.994348741153644,45.51310498731565,45.825020346494476,19585200
2016-07-08,46.609256744384766,46.662729391679854,45.94086395149315,46.10127849375686,28391000
2016-07-11,46.86771774291992,47.081605000793516,46.760775813794446,46.78751044617015,22269200
2016-07-12,47.42024230957031,47.58957066826077,47.04594395806415,47.17962048376419,27317600
2016-07-13,47.687591552734375,47.99951019813219,47.39350052094803,47.732153787520645,25356800
2016-07-14,47.892578125,48.11537574608842,47.74998778348829,47.981695813586605,24545500
2016-07-15,47.85692596435547,48.12428240892517,47.4202411651817,48.0797235681005,32024400
2016-07-18,48.08863067626953,48.42728396261548,47.72324276718779,47.8569226801095,31433900
2016-07-19,47.31330490112305,48.03517044707706,47.17071455373211,47.865842072310166,53336500
2016-07-20,49.82646560668945,50.6552731249602,49.487812231575454,50.04035284350416,89893300
2016-07-21,49.728431701660156,50.11164390775325,49.69278326397193,49.88884627163504,32776700
2016-07-22,50.414634704589844,50.468107346141174,49.71059355579262,49.9779533639281,32157200
2016-07-25,50.55723190307617,50.566145711026294,50.13837131958321,50.325523890697674,25610600
2016-07-26,50.5839729309082,51.05630622302777,50.36117529865511,50.3700891077336,28079000
2016-07-27,50.07598876953125,50.619615472857994,50.00469530331652,50.45029051592904,32327500
2016-07-28,50.09381866455078,50.23640901276575,49.657137210477096,49.90666946994777,37550400
2016-07-29,50.51268005371094,50.5839735290715,49.95122906189972,50.13837825929609,30558700
2016-08-01,50.423561096191406,50.57506185230043,50.031435092856,50.441381914868444,26003400
2016-08-02,50.423561096191406,50.708741789732414,50.182939248587054,50.664179544173734,35122000
2016-08-03,50.77112579345703,50.89589192423719,50.34335474522988,50.512679722771225,22075600
2016-08-04,51.14542770385742,51.261283433103365,50.50376938756891,50.61962511681485,26587700
2016-08-05,51.65338134765625,51.876178889769626,51.19887585757807,51.37711457119291,29335200
2016-08-08,51.74251937866211,51.76925400460752,51.492983737891656,51.74251937866211,19473500
2016-08-09,51.86727523803711,52.13463164346398,51.70686071485676,51.840537217759625,16920700
2016-08-10,51.70687484741211,51.97423132591302,51.52863606187081,51.8316409774044,15756900
2016-08-11,51.9564094543457,52.090089399445716,51.715787592939016,51.715787592939016,18162300
2016-08-12,51.63557815551758,51.858375788324715,51.35039745749421,51.71578543931303,21655200
2016-08-15,51.79598617553711,52.13463948648871,51.65339584455038,51.69795468555468,19283900
2016-08-16,51.509029388427734,51.67044375526085,51.35658438686899,51.66147781079704,20523500
2016-08-17,51.61664581298828,51.724254260126145,51.3207183073456,51.5987105016635,18856400
